Fund,Date,Direction,Ticker,CUSIP,% of ETF	
ARKK,09/8/2020,Sell,ROKU,77543R102,ROKU INC,0.2500
ARKK,09/8/2020,Sell,TER,880770102,TERADYNE INC,0.1500
ARKK,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8400
ARKK,09/8/2020,Buy,TWOU,90214J101,2U INC,0.1100
ARKK,09/8/2020,Sell,Z,98954M200,ZILLOW GROUP INC,0.1700
ARKK,09/8/2020,Sell,ZS,98980G102,ZSCALER INC,0.0500
ARKQ,09/8/2020,Sell,AAPL,037833100,APPLE INC,0.2000
ARKQ,09/8/2020,Sell,ISRG,46120E602,INTUITIVE SURGICAL INC,0.3500
ARKQ,09/8/2020,Sell,MTLS,57667T100,MATERIALISE NV,0.0800
ARKQ,09/8/2020,Sell,TER,880770102,TERADYNE INC,0.1500
ARKQ,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8100
ARKW,09/8/2020,Sell,AAPL,037833100,APPLE INC,0.8200
ARKW,09/8/2020,Buy,CRWD,22788C105,CROWDSTRIKE HOLDINGS INC,0.2100
ARKW,09/8/2020,Buy,GBTC,389637109,GRAYSCALE BITCOIN TRUST BTC,0.1300
ARKW,09/8/2020,Buy,TSLA,88160R101,TESLA INC,0.8000
ARKW,09/8/2020,Buy,TWLO,90138F102,TWILIO INC,0.3000
ARKW,09/8/2020,Sell,VMW,928563402,VMWARE INC,0.6600
